Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	344
	Source Height	496
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	CC Power Pin #1	Top Left #2
	Frame	X pixels	Y pixels	
	609	369.731	71.9949	
	610	369.565	72.0338	
	611	369.413	72.1521	
	612	369.362	72.4096	
	613	369.43	72.6883	
	614	369.141	72.7766	
	615	368.862	73.0652	
	616	368.522	73.2577	
	617	368.065	73.6023	
	618	367.625	74.0221	
	619	367.204	74.6884	
	620	366.807	75.5949	
	621	366.608	76.4473	
	622	366.479	77.3415	
	623	366.174	78.3872	
	624	365.86	79.2702	
	625	365.328	80.153	
	626	364.578	81.0817	
	627	363.792	81.929	
	628	362.903	82.8799	
	629	362.171	83.5531	
	630	361.521	84.0991	
	631	361.103	84.843	
	632	360.849	85.311	
	633	360.77	85.871	
	634	360.79	86.3923	
	635	360.898	86.8306	
	636	360.946	87.2909	
	637	360.967	87.6731	
	638	360.91	88.1298	
	639	360.8	88.4963	
	640	360.784	88.9738	
	641	360.593	89.4629	
	642	360.398	89.9725	
	643	360.401	90.5463	
	644	360.308	91.1081	
	645	360.249	91.651	
	646	360.295	92.1508	
	647	360.384	92.7141	
	648	360.59	93.1757	
	649	360.87	93.6656	
	650	361.372	94.1617	
	651	361.865	94.3928	
	652	362.415	94.2756	
	653	363.072	94.0368	
	654	363.659	93.5388	
	655	364.256	92.9938	
	656	364.733	92.2668	
	657	365.318	91.5695	
	658	365.921	90.9997	
	659	366.559	90.3543	
	660	367.233	89.7592	
	661	367.947	89.2758	
	662	368.79	88.7858	
	663	369.518	88.1718	
	664	370.234	87.6757	
	665	370.94	87.0518	
	666	371.525	86.4377	
	667	372.084	85.7757	
	668	372.48	85.1999	
	669	372.947	84.6935	
	670	373.245	84.2395	
	671	373.47	83.851	
	672	373.717	83.5099	
	673	373.715	83.3366	
	674	373.707	82.983	
	675	373.502	82.9477	
	676	373.373	82.8042	
	677	373.094	82.6374	
	678	372.879	82.2678	
	679	372.594	81.9297	
	680	372.47	81.7276	
	681	372.314	81.4028	
	682	372.23	81.219	
	683	372.02	81.0639	
	684	372.036	80.9761	
	685	372.065	80.9778	
	686	372.059	80.9593	
	687	372.214	81.0719	
	688	372.298	81.3073	
	689	372.378	81.5879	
	690	372.437	81.9578	
	691	372.616	82.4529	
	692	372.765	82.7976	
	693	372.867	83.3976	
	694	373.262	83.9285	
	695	373.583	84.4513	
	696	373.842	85.0202	
	697	374.168	85.4378	
	698	374.336	85.9891	
	699	374.625	86.4518	
	700	374.666	86.9293	
	701	374.692	87.2161	
	702	374.544	87.4009	
	703	374.476	87.5965	
	704	374.405	87.5825	
	705	374.233	87.4912	
	706	374.222	87.2588	
	707	374.144	87.1177	
	708	374.018	86.8657	
	709	374.08	86.5418	
	710	374.065	86.2657	
	711	374.151	86.0599	
	712	374.281	85.8319	
	713	374.23	85.7219	
	714	374.219	85.4699	
	715	373.96	85.287	
	716	373.909	85.0451	
	717	373.943	84.9738	
	718	373.764	84.7498	
	719	373.622	84.5659	
	720	373.365	84.5098	
	721	372.989	84.2555	
	722	372.576	83.9727	
	723	372.196	83.8128	
	724	371.694	83.5413	
	725	371.124	83.3487	
	726	370.821	83.1301	
	727	370.722	82.7952	
	728	370.682	82.5777	
	729	371.096	82.402	
	730	371.49	82.287	
	731	371.633	82.1618	
	732	371.525	82.018	
	733	371.196	81.9206	
	734	370.543	82.0576	
	735	369.656	82.2051	
	736	368.748	82.428	
	737	367.693	82.7183	
	738	366.753	82.9521	
	739	365.749	83.2315	
	740	365.08	83.5429	
	741	364.359	83.8631	
	742	363.768	84.1067	
	743	363.258	84.1988	
	744	362.797	84.4604	
	745	362.553	84.4089	
	746	362.288	84.4593	
	747	362.188	84.436	
	748	362.193	84.2863	
	749	362.456	84.2022	
	750	362.682	84.1003	
	751	363.032	83.9559	
	752	363.189	83.834	
	753	363.465	83.7473	
	754	363.585	83.7458	
	755	363.564	83.608	
	756	363.528	83.4995	
	757	363.624	83.5088	
	758	363.588	83.4056	
	759	363.527	83.4252	
	760	363.603	83.4401	
	761	363.72	83.5529	
	762	363.728	83.6939	
	763	363.839	83.8563	
	764	363.822	84.1371	
	765	363.775	84.4347	
	766	363.565	84.7188	
	767	363.48	84.879	
	768	363.335	84.9263	
	769	363.02	84.8896	
	770	362.703	84.9118	
	771	362.531	84.8988	
	772	362.138	84.8691	
	773	361.876	84.8472	
	774	361.705	84.8741	
	775	361.57	84.8123	
	776	361.412	84.7651	
	777	361.262	84.759	
	778	361.176	84.6383	
	779	361.139	84.4889	
	780	361.021	84.3399	
	781	360.973	84.2548	
	782	360.926	84.2183	
	783	360.904	84.2105	
	784	360.905	84.1156	
	785	360.963	84.0469	
	786	361.013	84.0853	
	787	361.169	84.062	
	788	361.408	84.077	
	789	361.63	84.1902	
	790	362.028	84.2509	
	791	362.373	84.4215	
	792	362.73	84.4883	
	793	362.964	84.5713	
	794	363.097	84.6093	
	795	363.055	84.4479	
	796	362.982	84.2296	
	797	362.862	83.9622	
	798	362.64	83.6995	
	799	362.501	83.4346	
